TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Days,Years
105424,Undocumented,Pinus radiata :: Monterey Pine,2 GARFIELD ST,2.0,Sidewalk: Property side : Yard,Private,2014-02-28 00:00:00,30,,37.72011064,-122.4628735,3631,9.947945205479453
22645,Permitted Site,Pittosporum undulatum :: Victorian Box,1244 Turk St,1.0,Sidewalk: Curb side : Cutout,Private,2005-04-07 00:00:00,3,3X3,37.78088713,-122.4295132,6880,18.84931506849315
30518,DPW Maintained,Lophostemon confertus :: Brisbane Box,409 Eddy St,1.0,Sidewalk: Curb side : Cutout,Private,1995-01-09 00:00:00,5,,37.78361428,-122.4145472,10621,29.0986301369863
41912,DPW Maintained,Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,642 12th Ave,2.0,Sidewalk: Curb side : Cutout,Private,2000-06-20 00:00:00,8,,37.77613467,-122.4703015,8632,23.649315068493152
65026,DPW Maintained,Lophostemon confertus :: Brisbane Box,271 Missouri St,1.0,Sidewalk: Curb side : Cutout,Private,1989-04-28 00:00:00,13,,37.7629699,-122.3964605,12703,34.8027397260274
93632,DPW Maintained,Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,151X Palm Ave,2.0,Sidewalk: Curb side : Cutout,SFUSD,2018-01-31 00:00:00,3,3x3,37.78276752,-122.4579346,2198,6.021917808219178
109107,DPW Maintained,Pittosporum tobira :: Japanese Mockorange,461X Cherry St,3.0,Sidewalk: Curb side : Cutout,Private,2015-01-28 00:00:00,3,,37.78646411,-122.4567798,3297,9.032876712328767
7950,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1735 Franklin St,1.0,Sidewalk: Curb side : Cutout,Private,2008-01-28 00:00:00,3,3X3,37.79068151,-122.4241712,5854,16.03835616438356
94232,Permitted Site,Pinus canariensis :: Canary Island Pine,1501@Ocean Sloat Blvd,12.0,Sidewalk: Property side : Yard,Private,2010-06-28 00:00:00,14,,37.73406014,-122.4889745,4972,13.621917808219179
15529,DPW Maintained,Pittosporum undulatum :: Victorian Box,2796 Mission St,1.0,Sidewalk: Curb side : Cutout,DPW,1992-06-01 00:00:00,11,3X3,37.75240457,-122.4185503,11573,31.706849315068492
37364,DPW Maintained,Prunus cerasifera :: Cherry Plum,66 Madison St,1.0,Sidewalk: Curb side : Cutout,Private,1998-06-15 00:00:00,8,,37.72800378,-122.4234968,9368,25.665753424657535
25922,DPW Maintained,Melaleuca quinquenervia :: Cajeput,1900 Oakdale Ave,3.0,Sidewalk: Curb side : Cutout,DPW,1997-04-22 00:00:00,12,3x3,37.73797885,-122.3961226,9787,26.813698630136987
35599,DPW Maintained,Pittosporum undulatum :: Victorian Box,251 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1998-03-27 00:00:00,5,,37.78339003,-122.4775437,9448,25.884931506849316
91400,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,222 Maple St,4.0,Sidewalk: Curb side : Cutout,Private,2009-03-31 00:00:00,7,3x3,37.7886371,-122.4554671,5426,14.865753424657534
63470,DPW Maintained,Pittosporum undulatum :: Victorian Box,2247 Turk Blvd,1.0,Sidewalk: Curb side : Cutout,Private,1987-03-19 00:00:00,7,,37.77861661,-122.4462231,13474,36.915068493150685
29291,DPW Maintained,Lophostemon confertus :: Brisbane Box,400X Portola Dr,12.0,Median : Cutout,DPW,2005-10-14 00:00:00,3,3X3,37.74598309,-122.4499083,6690,18.328767123287673
108228,Planning Code 138.1 required,Tristaniopsis laurina :: Swamp Myrtle,390x TREAT AVE,1.0,Sidewalk: Curb side : Cutout,Private,2016-12-28 00:00:00,3,3x3,37.7638737,-122.4138041,2597,7.115068493150685
94348,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1160 Battery St,5.0,Sidewalk: Curb side : Cutout,Private,2010-07-19 00:00:00,15,3x3,37.80189345,-122.4016326,4951,13.564383561643835
47491,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',158 Cayuga Ave,1.0,Sidewalk: Curb side : Cutout,Private,2010-12-28 00:00:00,4,3x3,37.73087265,-122.4320685,4789,13.12054794520548
23364,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1336 Van Ness Ave,1.0,Sidewalk: Curb side : Cutout,Private,2015-09-29 00:00:00,12,4x4,37.78818543,-122.4217033,3053,8.364383561643836
26271,Permitted Site,Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,16 Virginia Ave,2.0,Sidewalk: Curb side : Cutout,Private,2004-02-21 00:00:00,3,3X3,37.74298721,-122.4213409,7291,19.975342465753425
31527,DPW Maintained,Prunus cerasifera :: Cherry Plum,1364 San Bruno Ave,1.0,Sidewalk: Curb side : Cutout,Private,1995-05-10 00:00:00,6,,37.75232633,-122.4043884,10500,28.767123287671232
24438,DPW Maintained,Melaleuca quinquenervia :: Cajeput,99X Peter Yorke Way,6.0,Sidewalk: Curb side : Cutout,DPW,1995-05-20 00:00:00,6,3X3,37.78645014,-122.4233015,10490,28.73972602739726
39530,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,88x Arkansas St,4.0,Sidewalk: Curb side : Cutout,Private,1998-12-28 00:00:00,11,,37.7653441,-122.3988425,9172,25.12876712328767
254270,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,399 Melrose Ave,3.0,Sidewalk: Curb side : Cutout,Private,2018-01-30 00:00:00,3,3x3,37.73374669,-122.4511466,2199,6.024657534246575
18470,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,1221 Potrero Ave,1.0,Sidewalk: Curb side : Cutout,Private,2003-11-21 00:00:00,12,3X3,37.75268334,-122.406155,7383,20.22739726027397
36989,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',711 Lake St,1.0,Sidewalk: Curb side : Cutout,Private,1998-05-29 00:00:00,9,,37.78649199,-122.4670616,9385,25.71232876712329
